male,3rd,positive,文理融合の様々な授業があること。SFCの総合政策学部と環境情報学部は、授業や研究会に文系理系を問わずに様々な分野の勉強ができるということが、他の大学にはない特色だと思う。特に、プログラミングについての授業、研究会は数多く用意されている。自分の興味対象の変化によって、他の研究会に移ることもできる。
male,1st,negative,SFCは最先端を集めたキャンパスとして生まれたのだが、もはやそれは過去のものになりつつある。当時でこそその設備や教員陣は他に例を見ないものだったが、すでに後発は追いつき、追い越さんばかりだ。SFCは自らの早さにあぐらをかきすぎたのではないだろうか。この２５年間の世の中の進歩をSFCは追えたと言えるのだろうか。
male,1st,positive,SFCは、今年創立２５周年、そのため、校舎自体が新しいです。トイレもとても清潔に保たれています。そして、その佇まいは近代アートを連想させるような姿となっています。無機質なコンクリートから見える、豊かな自然、そして緑の芝生、そのコントラストが見る者を楽しませてくれます。
male,4th,negative,都心からかなり離れており、更に最寄り駅からバスに乗る必要があるため、交通の便はとても悪い。単に不便というだけでなく、刺激を受けづらい場所のようにも思える。先進的なIT企業などは都内にあり、人材もイベントも都内に集中している。そういったものと気軽に交われる立地にないのは非常に残念だ。
male,3rd,positive,自然豊かなキャンパスであること。キャンパス内が森に囲まれていて、鴨池で鴨が泳いでいる風景は、大学に通う人の心を癒やしてくれる。教室の外に出て、独特な臭いのする空気を吸いながら景色を見ると、すぐに気分転換ができる。また、雪が降った後のキャンパスが雪国のような景色になるなど、四季による変化も楽しめる。
male,1st,negative,自分はGIGAプログラムで９月入学したのですが、入学したらどういう風に授業を取れるかの説明が不十分、あるいは非常に分かりづらかったです。入学する際の枠組みと、入学した後のGIGA授業になんの関わりもないと気づくのには時間がかかりました。是非とも改善してほしいです。
male,3rd,positive,他のキャンパスと比べると、あまりチャラチャラしていない。日吉などでは大半の学生が普段からおしゃれをしているが、SFCにはあまりそういった傾向は見られない。適当な格好をしていても特に浮かないので、必要以上に格好に気を使う必要がなく、気軽に登校し勉強に専念することができる。
male,3rd,negative,大学の最寄り駅が湘南台という交通の便があまりよくないところであることに加え、そこから更にバスで20分近くかかるところ。あまりにも交通の便が悪すぎるので、通学時間だけで一日三時間以上かかるため、できるだけ大学に行く日が少なくなるように時間割を組む人も多くいるほどだ。
male,2nd,positive,湘南藤沢キャンパスでは様々な専門の教授がいて、自分の興味のある研究に携わることが出来るから、その知識が強くなったり、パソコンのソフトの使い方も学ぶことができたりして、能力を高めることが出来る。しかも４年間あるので、研究テーマを変えることができ、様々な分野を学ぶことが出来る。
male,1st,negative,SFCにはθ館、Ω館ふたつの大教室がある。「θの授業は休み時間」と言われるほど授業に積極的に参加している生徒が少ない。構造上声が響きやすい設計なので、前の方に座っている積極的な生徒にとって後ろの話し声は非常に迷惑である。出席カードが欲しいだけなら静かにネットサーフィンしていてほしい。
